,ENCFF855XWL,ENCFF394ILT,ENCFF753UVR,ENCFF423HWS,ENCFF428XME,ENCFF827OWX,ENCFF119HDC,ENCFF424IRB,ENCFF346AVD,ENCFF983TON,ENCFF945PKC,ENCFF817OKW,ENCFF840BXH,ENCFF087HIG,ENCFF517MBY,ENCFF187MBB,ENCFF026RES,ENCFF613KZJ,ENCFF874LJS,ENCFF492AZH,ENCFF928HTH,ENCFF077WSJ,ENCFF977LKL,ENCFF564OCC,ENCFF811GWB,ENCFF622GIX,ENCFF141QVV,ENCFF437SBD,ENCFF702OQW,ENCFF296NWQ,ENCFF467YZL,ENCFF375GZN,ENCFF443YAW,ENCFF559ZBP,ENCFF601YUN,ENCFF959RYF,ENCFF865DDB,ENCFF567QQP,ENCFF075BWE,ENCFF434PBY,ENCFF785XEV,ENCFF470PDD,ENCFF995TKW,ENCFF625JKM,ENCFF463OCW,ENCFF645YXV,ENCFF754CFM,ENCFF538UNB,ENCFF889KIG,ENCFF946HWJ,ENCFF392GLP,ENCFF589FYO,ENCFF494FJB,ENCFF067MGG,ENCFF729CFS,ENCFF385QYX,ENCFF905HDC,ENCFF800IDT,ENCFF074PXG,ENCFF565UUV,ENCFF344UVE,ENCFF614WZC,ENCFF611QTT,ENCFF873NQS,ENCFF682HIM,ENCFF730IMW,ENCFF018VLM,ENCFF021WXP,ENCFF545SIA,ENCFF755NNR,ENCFF253JUY,ENCFF688ZST,ENCFF837PEP,ENCFF006ELI,ENCFF461VEI,ENCFF850VDF,ENCFF538RSM,ENCFF399REE,ENCFF062GEP,ENCFF434PFO,ENCFF080DVI,ENCFF141FGO,ENCFF513ONW,ENCFF101KOX,ENCFF794XRI,ENCFF354BKY,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
MIR494,35.0125021057047,30.2747353316157,24.7958125315617,28.8678573828301,20.9670944465326,26.0890016556781,13.9203125654879,914.35717375327,1689.07954540537,1398.29001728408,745.495269615217,997.754843563025,47.685931783107,49.2102765262415,120.627795584851,55.2541716899626,26.3642108404269,31.9956269027908,32.2127853230325,43.6515013188609,34.889151614773,59.4875712286945,112.501948165785,72.2768228034662,104.172664883342,20.8607891740849,2.38598377690097,110.277900308778,121.338173674105,91.1323383622445,97.1195909267068,33.8367966704592,31.7875919644314,41.8791597784174,47.5104200531981,40.4979940489003,31.5305728316819,45.6786128927885,70.6222261826542,14.1957832320601,43.9445924763082,72.7347326998573,72.5489967027096,102.054393700014,117.410452208812,7.76539545649699,10.2189293021562,137.653541760311,82.1016547634642,9.35756488939571,8.00374117730459,21.5501694750696,20.7867705306478,51.0268808672135,39.7014743216011,67.1304680646837,21.2793688539198,18.5531247014723,204.479797941243,217.858633370168,157.64115544306,155.693504306629,10.1567146040247,8.89648328151388,6.59559323048605,33.8676408893861,18.3139841004095,19.5415414786666,17.8745749202652,79.8093910806982,74.9349292925944,38.8715586523231,46.0630596977254,25.3407654178194,19.2028410399033,15.1747840052156,21.4088729999223,14.017742325401,26.3469709676095,14.2714516982717,8.87302888556686,74.0548222660681,24.3907374700292,4.45743647208245,66.4777072461999,4.19516891974782,4.65903353498775,14.2460940166943,14.3767617556934,0.212530229768557,0.444130493533349,0.255428885533121,0.419277894453499,0.600424800546387,0.891354970975254,0,1.16525082218156,0.979298031336754,2.9829613249121,0.343362376067642,4.17641453420101,2.15716127930018,7.62655069225247,6.19363022293353,30.3138029768155,2.83230378200196,8.10911684031576,3.00117495999684,1.70986904113014,0.472730181307152,674.922820339945,852.767196634394,0.113357928225161,0,830.938525889488,485.223657111466,388.658067532751,7.45636905646609,7.86392268191219,1244.65557942788,3.58768318815879,395.235680434656,0.873395397974841,2.32444813035505,1.30036832210297,0.427498773078521,59.9535437897375,44.4140422639658,6.03031494142097,1.50689839247847,1.36758246066377,1.94212971354881,1.17172166923469,0.893099783487095,0.834029207146815,10.2482663007899,1.07081705840129,0.989156128650635,40.7812680448089,24.6854563478847,258.334341743702,305.067784527581,1.48721662946146,6.26167354854407,24.5329413514482,22.0581122775995,0,85.6292347548824,60.3423954554766,73.9826949314972,4.44589535886632,6.3457845180082
MIRLET7E,15656.8642670991,15221.0655912902,21193.1624035004,13787.3882303755,7482.18436212729,4136.08023263602,28551.9228415231,8906.53912556345,10321.0308914522,24052.1935216634,14092.5350182195,17262.4486351812,7271.3820828059,7031.99631886839,3618.40560318252,1703.87864283753,4880.87867948434,10600.3138825229,11689.128801794,3397.36440752403,3507.15267254866,2783.16851105678,4361.77665952533,5390.6678018329,6837.18178915243,1062.33568869027,4899.75024052042,4807.03175280395,4227.05681517343,5177.91076861984,4467.50118262851,2134.89038992679,2998.07183159268,3016.34648304051,1887.52111668491,3032.27182352683,3478.17252303265,5249.86835677534,2966.13349967148,3126.8896645274,7537.59884649116,4701.64772144462,4675.10653328308,4790.0973650589,4126.33007515608,2428.03009090739,2391.22945670456,5416.87250185433,3629.38513548003,11027.4648782942,11963.8779726752,12263.4074946499,9817.35299400823,12299.3508350853,15079.208117334,6090.33656912209,3690.30804546337,3591.41124540415,8072.86242272027,8696.84664939546,10247.7852527809,11019.4917575992,10387.8674191508,11604.0819519498,12417.4726397035,4732.7296881555,7960.47842231132,6806.73764433697,3627.72622813564,2905.89004599957,3585.60320960228,7383.77403962955,3831.43696554231,4481.24285594046,3668.9683518794,5048.70684143896,6501.42540805048,2081.29003674027,4732.95552613378,3443.14284668304,1426.24294738873,2163.62719576086,4581.17016305208,3010.99833689169,769.946882753839,1736.16430112109,33.1036593275445,15.8588593770748,5.22061181072664,12.964344015882,13.7680452995338,19.8383101097391,28.0916189283844,39.6280368360615,10.9190983944469,6.70654654381993,10.0988404589068,9.40126110083283,3624.2980097682,4285.50581570024,3168.5064932805,3311.02684759785,2718.15033266061,1066.38828363358,1499.43092724412,109.658252088076,206.112595862982,5515.15918482086,5436.62360899779,3537.53449275768,10904.864979951,6899.40985460683,13.3762355305689,17.4683582156279,11228.6640553891,14645.4180030802,27406.0307864659,503.884851126964,642.40113218793,5537.69624940426,11340.8775979575,5825.00357576663,9.95670753691318,11.7882726610863,41.7562716764175,30.7799116616535,12658.1785685157,7758.98756370412,560.27107910293,522.517017591908,12885.8178051943,19694.8137368129,11529.448294852,552.382216086768,517.283448254836,10579.0803369794,1536.86043815216,1754.2683941619,24819.1910151288,28050.5150640059,5755.1452722776,5221.99088543975,205.731633742169,205.740702309305,19.9330148480516,16.4531821087013,8368.68192857594,825.154444001594,8430.99714749852,9811.3097173689,4727.89215020013,6515.76088902628
MIR375,63.418871738635,69.9714657032446,73.1778857638773,96.0602840497622,2.04557018990562,5.45143318178349,3.9340013772031,1816.94017854598,686.113439024613,486.452778660845,858.601054168199,663.852315640036,98.2619200379175,223.729195340954,19.129141548367,28.0021141596191,13.2987612203923,2089.47712638056,2507.79960631864,1438.9025373766,7160.99836893216,3587.19496980652,42.5054353032382,127.320381806818,41.0932371524742,75.0988410267055,74.4957157010193,354881.062572765,329268.060749725,257157.440297057,335647.629677888,154.909084756946,94.5262603152827,61.7717606731656,128.278134143635,1.61001199582784,47.6461989456527,31300.0006344252,49569.4077827172,4417.75160027633,4835.68812721991,221.561185762642,957.277863272193,410.801230336767,680.355624206196,5770.88350040134,5081.40589604508,192516.34061244,252723.345713156,55165.3970861394,36986.4313719213,34029.3055083594,48960.4722381617,74.4337069530913,63.9634864070239,31.0603658209731,1.66245069171248,10.2634306859209,747.032861812007,505.71200838537,257.554563822465,160.370991560477,3465.89130073892,872.162136873929,459.154759506913,55.7177317857642,44.2587949093229,162.613541590333,113.341054608045,2619.40444877122,1009.96369303205,558.171287523201,76.9820997688013,4.2988798476658,0.817142171910779,19.3900017844422,29796.1293814844,774.65261276929,7.88616818078108,0.620497899924858,3940.01060905628,476.403633686171,34869.9095894329,50.5822138788486,131.137664684887,2975.90028007202,1.96169833052116,63.8834278861825,12.931053869646,12.964344015882,14.6563062866005,46.5732001288724,35.2193431340939,64.2454536584634,14.7073570210917,9.54393162005144,93.9968996559791,23.1114335395474,990.343159870818,1293.10270827074,1164.9876320124,122.74247679218,36.2261157881992,8.82592306768028,58.6985457641972,12.6652074780088,15.9361774427075,778.638170176958,896.351348450222,342.445743338901,9.93577232887406,6.23722451825237,134.782576659716,78.3115381022642,2.04538714065105,2.67193643783847,1.1867421909397,18.3923770059497,34.7097276994745,1.85650736330603,4081.51722699947,33.8563152700078,24581.0147596835,22046.0622603432,23578.5673871092,14551.6307368198,139.177869511891,556.813751169964,54164.2888038432,52113.8205562791,0.911721640442513,4.2079477126891,1.75758250385203,65.196284194558,59.1234037955187,35.2540360747172,112639.127393559,112006.59964969,15066.3327174039,16576.8716865652,4.89475594882805,7.16770969417646,208.210328124605,63.2130853472068,20.4441177928735,19.3460492926488,9.64874934117133,88610.1700544706,136.564368662394,125.168396657359,97913.2237441298,134456.748719171
MIR30E,13049.7540867187,11558.0139257087,9450.83323001745,12089.6595832576,17032.9515787966,10962.4427404822,6149.7519990401,7936.7194190749,8905.53126672311,4385.75216801255,3101.77291924358,3603.02671719517,2470.27576918853,2032.33368828993,2663.66158321626,5914.69655959025,5130.87205926768,3402.92472567817,3414.55524424145,5595.90953492519,2149.6475006284,7790.51121305308,3315.42395365258,3191.49757062423,2526.84147433112,1043.56097843359,907.999381765092,2749.71616999429,3785.82709272214,5083.31332233508,3527.90399194047,15655.8628594631,10360.2454336706,8617.68410340383,17679.984742368,18459.0352263194,16202.5103591069,1849.34939697887,3974.07165974433,3694.84028610587,4174.21188677104,3883.28872891392,4640.06167894364,3459.51476365365,4127.22293030596,4783.03559761811,4596.61296186313,3490.93252654004,4947.00907054162,1424.05123862258,1468.11481023701,883.330104588644,1343.33776726212,10090.6827256219,9637.90049781238,13697.1203534068,8951.96448473338,11527.0169022914,3228.59968962693,3895.20737254614,2676.01412109505,2093.50965232905,8393.64904138126,7106.75626550174,5242.48191158557,3621.10631380227,2484.97871762431,2942.74677302849,3333.20198229036,2519.26625052845,2588.23919494687,1898.6326929244,2462.16519096609,22292.1808353221,23318.3775887319,4335.77300771244,1744.16238180848,2403.6981102245,14420.7546740333,15645.8545466053,2281.91155904904,4423.478491791,3772.92545051501,1125.59960999369,3425.41967298681,2586.76658118268,6791.64483255556,6371.2295561831,2894.62845628597,1437.76700438429,1533.13846367712,922.3537056601,646.316874300068,1341.6492168209,1690.00902496908,802.722032475678,1014.93346612014,1187.88851201148,8222.3671720466,10804.5838877205,8018.48388263626,14451.0391261599,10162.3787974264,3010.72365136799,20495.7133526791,2653.65488495984,6526.35826120509,3244.4368636988,4078.2276485444,1154.21801067954,1548.56108725737,2624.13895981807,901.648961102927,549.365062188095,1398.53345742015,1660.34130247282,1009.91760448968,6764.74940220632,8482.73204605439,3104.61074212291,2500.61518214668,8065.89910965251,918.986637749127,843.110543281639,1416.5345588775,414.673809886166,9617.48276481607,1820.42965853247,8439.15165529404,7894.26395359657,1874.95555357003,1738.20609362619,1195.741963454,2027.91064409081,2077.01073553128,11630.9623900925,2633.25812628193,3296.85737679257,8238.17704122878,5681.57328641791,6418.92856511589,6594.92166510675,7077.16820073062,10987.7462030404,1774.71979206969,2457.12906436539,2517.11748437807,8263.99960143483,3478.15684682401,3150.2863818505,10386.2466862201,9719.24889481364
MIRLET7A2,611.397560355278,589.568187097673,570.908464141324,547.991568594757,100.232939305376,31.5404348374616,301.102413101314,733.406787622498,639.955842566055,733.168786202608,261.034778635822,124.199258049859,2254.96656204662,2409.78158247059,361.883386754554,156.261797765731,516.435227391902,1304.77081912059,1354.30774038962,353.470693606386,178.410434393726,382.892224337074,240.652663557637,299.653019807965,347.329463065817,81.3570777789309,375.659890207631,809.457866610744,721.562744388014,669.458850630632,702.142114307435,491.162251669634,607.310309636241,461.717736557051,408.589612457504,70.8405278164249,163.958978724746,71.0556200554488,136.437703986384,170.587983376857,178.505241992068,2305.50452727086,1993.8677653126,1857.21772163781,1887.9422144147,168.59868212279,123.493162583685,564.645635269886,227.855154231187,954.046274859753,1037.6278740577,962.725465812584,897.324707696957,600.151020841906,819.761923492318,574.616767688002,83.7875148623092,90.0023921688445,844.637885362627,772.566960907062,939.741113257399,1077.82670577937,1158.56592793496,1337.54024508278,1576.34678208617,872.911131310306,1105.3252487268,1255.54404000433,1239.03303424565,1206.17589161584,1150.54957807656,1248.14145360194,950.918232390029,104.304400514418,94.5842063986726,36.8129019385787,135.589528999508,67.1013239183129,64.8816563964262,90.5926933890292,183.247335680185,171.222296067406,183.332576148351,113.083225280874,57.1292796647031,139.584711329791,35.0653576580657,56.715581840047,17.9107143660314,1.27518137861134,3.33097870150012,0.510857771066242,0.419277894453499,14.4101952131133,9.13638845249635,1.54766458703537,1.94208470363593,4.11305173161437,667.851896633098,750.246791707799,425.994282488503,22.6501934326519,8.10321011051825,1.39356680016004,34.9986634368687,4.328615214003,5.57061069899953,91.7025682221256,120.450774675168,25.4328837543248,715.730456690678,910.981292138082,0.226715856450321,0.444110802092236,352.317934977143,322.235534403319,719.759138804927,4.14242725359227,4.33871596243431,164.433509321391,757.001152701504,112.854384233359,0.349358159189936,3.81873621415473,10.5474319459463,0,37.3736376871091,18.5665258644447,3.83747314454062,2.2603475887177,224.283523548858,236.939825052955,129.768174867742,0.765514100131796,0.648689383336411,11.6830235829005,2.02265444364688,3.46204645027722,130.283520036956,124.602779660751,589.546160947733,566.24906583994,1.98295550594862,2.98174930883051,0.851838241369729,0.904020994983588,90.0549938509324,9.34137106416899,39.1696251202216,43.4433266748908,13.9728139850084,19.0373535540246
MIR429,0.660613247277448,0.191309543959657,9.67641464646312,0.995443358028624,1.02278509495281,1.55755233765243,0.302615490554084,4.02800517071925,4.80808296443317,1.39584728453614,1.67151405743322,1.04019479103735,5.05759882548105,3.04393463048917,37.8300187337108,4.00030202280272,1.04990220160992,37.9609132744975,37.010434200931,54.2982089576075,33.3032810868288,92.7722837018927,2.11469827379295,6.94474809855369,16.7513832978239,1.04303945870424,0,593.87361067924,932.287973903544,978.199966527058,594.799408546338,0.528699947975925,0.836515578011352,0,0,2.84848276184925,6.13094471727148,2627.78909169347,2692.5185919481,534.310194087373,403.367309460337,358.451682690066,384.263753721979,357.836291834227,371.874169923728,555.972447779582,296.695354145655,1078.24575681143,3004.55156814161,123.34971899658,165.791781529881,162.647068564473,213.340972617069,1.87254608687022,1.47042497487411,3.00584185364255,0.99747041502749,7.10545201332983,3.81695622823653,2.62480281168877,3.88552143697684,2.67284985934128,540.057031703659,314.137892423111,433.787093235813,1.63875681722836,1.14462400627559,1.74478048916666,4.06240339096936,437.82227276817,206.899981763623,89.2831112795545,3.1550040888853,3.16759567722743,1.02142771488847,2.24811614892083,1529.54503766111,1202.07885416676,1.43384876014202,0,224.526209191301,28.7728927275806,3341.39701835296,5.91094836515281,22.5920333219508,280.949191292202,6.6207318655089,2.06075573826395,2.32919603863188,90.7504081111737,72.6153356927026,30.7366092258189,43.1856231287103,47.1333468428913,77.3250437321033,41.5289997521157,121.574502447609,58.5620222739379,3447.97185145118,3801.0215030688,2395.17373536428,3353.0914925442,1094.1716946291,880.734217701147,14.8813214613458,0.320638164000222,0.916682773253086,3584.90348971622,4112.80500026503,1716.76692643505,1.06454703523651,1.73256236618121,295.297403026543,540.482846146251,0,0,0,0.331394180287382,0.271169747652145,8.22167546606954,2726.42818281314,12.512116512829,104.108731438601,73.5521801248063,120.211827109963,100.889710446531,437.972316645809,18.9305753911985,46.5978881837075,59.5224865028995,2.27930410110628,8.09220713978673,4.39395625963009,76.0410672797584,72.5605410217729,1032.61531246759,19.9885850901574,28.1909496665431,2831.23051160642,3034.74380022805,1.63158531627602,3.52098020064809,45.1122377603311,12.5233470970881,23.6811031100785,18.9844408946553,8.04062445097611,19015.3987312342,89.4549546664521,82.155201929744,10456.7458840536,3289.15609678047
MIR380,0,0.526101245889057,0.604775915403945,0,0,1.94694042206553,1.51307745277042,21.999105163159,38.9454720119087,18.1460146989698,32.0373527674701,112.132998473826,1.44502823585173,1.52196731524458,11.277628226276,2.5001887642517,0.34996740053664,0.54229876106425,2.74151364451341,4.25868305549862,2.37880579191634,3.77698864944092,3.38351723806871,2.05770314031221,7.59047055682645,1.04303945870424,0.530218617089105,4.51958607822861,3.42333405350139,0,0.929374075853653,0.528699947975925,0,2.09395798892087,0.678720286474258,3.71541229806425,9.10883215137478,0.634425179066507,4.43699850362225,1.43150755281279,4.92934569543314,0.745997258460075,0,1.29182776835461,2.23213787469224,0.298669056019115,0.519606574685911,3.87074985617745,11.0698860355233,0,0.571695798378899,0,0.349357487910047,0.936273043435111,0,1.50292092682128,0.99747041502749,8.28969401555146,4.36223568941318,2.62480281168877,3.33044694598015,2.00463739450596,0,0,0,0,0,0,0.406240339096936,0.752918783780172,1.3262819343822,0.607368103942548,1.89300245333118,13.3491532111727,1.42999880084386,1.12405807446042,0.792921222219344,0.68939716354431,1.07538657010651,1.24099579984972,0.385783864589864,4.24518089423321,2.54628577983821,0.290702378614073,21.5533191462289,0.508505323605796,0,1.61276536038048,1.6063420956082,0,0,0.0851429618443736,0,0,0,0,0.388416940727186,0,0,0,0.464046059355667,0.647148383790055,0.953318836531559,1.54840755573338,4.6848604600533,1.54975112600107,9.66042614889791,0.50019582666614,0.56995634704338,0.0945460362614304,9.93577232887406,10.7418866703235,0,0,113.00763952097,83.8988041481279,86.632179938598,9.27903704804669,11.3891294013901,110.329580447901,1.26624112523251,28.704267294137,0.349358159189936,0.498096027933225,0.288970738245104,0,5.25566779974971,8.1911143519609,0,0.376724598119617,0,0.323688285591469,0.878791251926017,0.510342733421197,0.55601947143121,3.68937586828436,0.237959346311398,0.247289032162659,1.44358470955076,0.391832640442614,13.8684751883461,16.7246559530784,5.94886651784586,2.38539944706441,2.72588237238313,2.53125878595405,0,139.601600903414,1.05863851676275,2.58079168365688,6.35127908409475,1.35981096814462
MIR449A,10.9001185800779,6.07407802071911,1.81432774621183,4.47949511112881,1.53417764242922,1.55755233765243,1.81569294332451,13.9430948217205,6.73131615020644,2.09377092680421,1.11434270495548,3.12058437311205,23.1204517736277,17.7562853445201,13.9899691920893,2.75020764067687,6.06610160930176,11.9305727434135,10.9660545780536,9.04970149293458,3.17174105588846,8.73428625183213,5.28674568448237,3.60098049554636,4.18784582445597,3.12911837611273,1.59065585126732,9.03917215645722,7.60740900778086,30.8394605104173,22.3049778204877,3.17219968785555,0.836515578011352,2.09395798892087,4.75104200531981,0.619235383010708,2.62754773597349,1.90327553719952,8.87399700724451,100.682697881166,13.1099619559392,4.10298492153041,0.614822005955166,6.02852958565486,5.35713089926139,1109.25687405499,18.0130279224449,44.2717014800296,11.9923765384835,8.93222103078681,74.3204537892569,84.3859267865884,7.80231722999106,0.936273043435111,3.67606243718528,3.50681549591631,1.99494083005498,0.789494668147759,5595.11255113358,4607.40386878436,1371.58906725283,903.423252457351,32.2213015024233,31.2910791280833,46.6765059388243,7.64753181373235,0.763082670850395,4.18747317399998,4.06240339096936,3.38813452701077,1.3262819343822,4.85894483154038,1.26200163555412,0.452513668175347,1.63428434382156,10.1165226701438,3.96460611109672,12.8687470528271,1.61307985515977,0.620497899924858,136.953271929402,1.41506029807773,0.804090246264699,3.97293250772566,36.0953176063351,1.77976863262029,15.9387989354844,12.5437305807371,9.07583284018631,2.33783252745412,5.32956592240019,2.46914589348684,1.67711157781399,6.90488520628345,3.78825862664483,3.09532917407074,0,2.54617488147556,193.892486119287,216.661659298682,166.360512279007,3.66717417481031,10.2481774927143,4.02585964490679,28.3847427873817,4.27517552000296,4.08981544989839,22.5088121999763,19.1885303504605,0.661822253830013,10.6454703523651,14.5535238759222,1.92708477982773,2.81270174658416,5.62481463679038,3.74071101297385,2.3734843818794,6.46218651560394,9.21977142017291,5.83473742753322,11.1851299395539,212.951316335991,1.57211171635471,1.16222406517753,11.7033148989267,2.99249141154965,23.5531779173969,11.8316096194991,2159.94916992715,2134.14484834763,10.9406596853102,11.3290899957014,5.56567792886478,2.42412798375069,2.68742744525085,21.1114285796272,1135.7799599443,965.910959627345,59.186973091581,45.4525862913432,1.35965443023001,3.64672949352838,14.3764274181275,24.1521694015271,5.45176474476626,2.53125878595405,0.804062445097611,1.037930118241,58.7544376803325,92.9085006116476,440.778768436175,242.499622652456
MIR345,77.6220565551001,82.3587586746324,79.2256449179168,71.1742000990466,50.1164696526878,30.3722705842223,163.71498038976,121.150001673171,172.610178423151,211.121901786091,111.991441848026,295.415320654607,142.335281231395,121.250062781152,39.400321398129,104.257871469296,135.904007208395,115.509636106685,136.390303814542,163.42696225476,84.0511379810441,176.102095780183,66.1900559697192,132.721852550137,80.877772484806,21.382308903437,9.80904441614845,69.6016256047206,50.2088994513537,40.8882734857218,50.1862000960973,50.7551950056888,51.8639658367038,41.8791597784174,41.4019374749298,38.2687466700617,36.4353286054991,99.6047531134416,114.252711468273,95.4338368541858,222.030315685786,17.5309355738118,33.8152103275341,24.1141183426194,29.9106475208761,96.171436038155,42.6077391242447,45.9651545421072,79.6416800889035,75.2858629737746,47.4507512654487,62.6089134223076,96.6555716551131,59.4533382581295,83.8142235678245,61.1187843573986,71.8178698819793,39.0799860733141,166.855515120054,146.114023184008,74.9350562845534,60.1391218351787,440.591274891831,508.326648188569,475.390065920418,37.1451545238428,36.2464268653937,34.8956097833332,37.3741111969181,49.6926397294913,50.3987135065236,40.0862948602082,28.3950367999677,31.902213606362,36.3628266500297,45.5243520156469,63.9623119256938,73.995295553756,39.9685341889587,34.747882395792,66.7406085740464,65.5644604776017,72.3681221638229,5.91094836515281,176.062052784858,38.1378992704347,78.7131455121614,62.8082509792622,56.4629246606281,56.5330411184361,52.4073982369352,73.4783760716945,83.645939943473,138.097704125669,75.3194950474089,21.1514160228167,24.8586842065399,35.8423079469252,326.137104857056,440.877290870853,356.851419644508,397.996256030884,451.15813938856,301.784632612436,156.805035398254,31.4225400720217,36.9493671680475,910.356404532374,986.594436732091,276.92534020973,68.8407082786274,38.8093970024592,25.7322497071115,27.2387958616571,63.9183481453452,102.067971925429,33.2287813463115,101.075224987651,152.126228432853,330.723526006088,92.2245619544347,202.156549148452,20.4374523126113,10.6260485959088,26.1518518111819,25.6499263847113,494.422081902381,99.3855208037922,1561.85156982803,1645.53304458649,60.6294890894271,61.1770859767877,51.2628230290177,929.589288926711,1113.89234110052,417.309403768165,1232.51043421989,1293.81621627503,683.176463794895,892.594754928275,103.061805811435,103.868915919119,960.246203755619,837.871555781373,84.672721192151,62.1966444548708,201.417642496952,1046.23355918693,254.602563281441,265.391411469382,976.191595225362,438.539037226638
MIR16-2,226.260037192526,248.845889305524,142.122340119927,264.2902115566,288.425396776693,236.747955323169,185.805911200208,420.151923961177,360.606222332488,176.923643314956,324.273727142045,332.030177299122,66.4712988491795,86.2448145305264,180.013787257394,351.276521377364,335.035458113743,168.654914690982,151.468628859366,553.096461832884,444.043747824384,508.713158721574,694.043973458845,976.894565863219,672.410995189212,132.466011255439,181.864985661563,112.989651955715,170.405961774291,186.422806231511,133.365179884999,140.10548621362,108.747025141476,109.932794418346,158.820547034976,247.446459051079,379.593062923637,155.434168871294,701.78526332292,990.126057362178,497.024877673567,289.446936282509,253.306666453528,295.397949697088,286.160075535546,584.495342629408,864.625340277356,230.551538308569,389.598489083555,45.5117928711519,78.8940201762881,64.4236645359976,43.4950072448009,209.725161729465,178.656634447205,477.427881086892,97.7521006726941,248.29607313247,328.258235628342,475.089308915668,244.787850529541,159.034566630806,188.074335943492,173.021261061166,184.676610453609,237.619738498112,294.931452283677,274.279492896999,380.647197733829,260.133439796049,280.508629121836,168.848332896028,219.588284586417,289.382490798135,288.655472227483,111.000734852966,176.028511332694,285.640224761859,286.052827648332,472.819399742742,736.46139750205,577.816288381742,323.378294039453,181.785887426667,179.437873855954,351.377178611605,935.239679075962,2388.95348910138,2181.41256583593,38.8930320476459,44.4130493533349,85.7389625772843,113.414670449671,30.9218772281389,32.3116176978529,80.7365026236784,93.9968996559791,98.5173819524774,385.464891208086,406.884415640156,491.888822917007,269.860876040453,259.77938295485,156.544003884645,1026.5356008058,1922.11891379333,2733.83008607863,235.592234359752,331.524608530233,149.193645220537,107.874099570633,252.954105462457,54.7518793327526,108.214998776475,645.830989660568,368.192841134141,278.884414870829,1000.97612155804,1083.32314187032,195.994134497593,342.729264562934,643.269990130148,75.6360414646212,171.179001599718,57.3606915416531,56.4298380463648,288.088457171466,322.365855940506,442.954042969831,406.109116772947,198.755317616468,347.317530439646,237.273638020025,199.862972976076,192.93875658663,375.291511934926,430.944376169942,553.43285398003,130.283520036956,85.8113482569325,101.702151381205,103.743166626238,1815.89150457245,1265.15623173679,86.0356623783426,117.703533546863,472.386686494847,319.682476418228,74.6340154317737,67.530715722355,2023.51751619259,227.768337164223
